species_taxid,species_name,number_of_samples
1134687,Klebsiella michiganensis,67
571,Klebsiella oxytoca,43
573,Klebsiella pneumoniae,1811
1463165,Klebsiella quasipneumoniae,130
244366,Klebsiella variicola,88
1597,Lacticaseibacillus paracasei,77
47715,Lacticaseibacillus rhamnosus,53
1589,Lactiplantibacillus pentosus,15
1590,Lactiplantibacillus plantarum,238
1579,Lactobacillus acidophilus,17
1604,Lactobacillus amylovorus,10
47770,Lactobacillus crispatus,25
1584,Lactobacillus delbrueckii,31
1596,Lactobacillus gasseri,17
1587,Lactobacillus helveticus,15
33959,Lactobacillus johnsonii,18
1359,Lactococcus cremoris,30
1363,Lactococcus garvieae,14
1358,Lactococcus lactis,68
28038,Latilactobacillus curvatus,23
1599,Latilactobacillus sakei,43
83655,Leclercia adecarboxylata,14
446,Legionella pneumophila,116
174,Leptospira borgpetersenii,21
173,Leptospira interrogans,50
28182,Leptospira noguchii,10
33964,Leuconostoc citreum,10
1245,Leuconostoc mesenteroides,26
1580,Levilactobacillus brevis,28
1624,Ligilactobacillus salivarius,32
1613,Limosilactobacillus fermentum,59
1598,Limosilactobacillus reuteri,41
1642,Listeria innocua,19
1639,Listeria monocytogenes,386
1421,Lysinibacillus sphaericus,15
1855823,Macrococcus canis,14
42858,Mammaliicoccus lentus,11
1296,Mammaliicoccus sciuri,28
75985,Mannheimia haemolytica,124
2099,Mesomycoplasma hyopneumoniae,11
2151,Mesoplasma florum,12
2098,Metamycoplasma hominis,21
2209,Methanosarcina mazei,12
408,Methylorubrum extorquens,10
1270,Micrococcus luteus,19
476,Moraxella bovis,37
480,Moraxella catarrhalis,16
582,Morganella morganii,55
1764,Mycobacterium avium,41
78331,Mycobacterium canettii,28
1767,Mycobacterium intracellulare,41
1768,Mycobacterium kansasii,11
1773,Mycobacterium tuberculosis,576
36809,Mycobacteroides abscessus,77
1774,Mycobacteroides chelonae,11
1772,Mycolicibacterium smegmatis,20
2095,Mycoplasma capricolum,27
2102,Mycoplasma mycoides,50
2096,Mycoplasmoides gallisepticum,25
2104,Mycoplasmoides pneumoniae,80
28903,Mycoplasmopsis bovis,71
171284,Mycoplasmopsis cynos,16
2109,Mycoplasmopsis synoviae,21
34,Myxococcus xanthus,14
485,Neisseria gonorrhoeae,160
487,Neisseria meningitidis,131
1406,Paenibacillus polymyxa,36
549,Pantoea agglomerans,24
553,Pantoea ananatis,19
59814,Pantoea dispersa,11
823,Parabacteroides distasonis,27
80867,Paracidovorax avenae,16
80869,Paracidovorax citrulli,13
33033,Parvimonas micra,10
747,Pasteurella multocida,146
1201031,Pectobacterium aroidearum,15
180957,Pectobacterium brasiliense,20
554,Pectobacterium carotovorum,15
1905730,Pectobacterium parmentieri,17
1254,Pediococcus acidilactici,32
1255,Pediococcus pentosaceus,29
450367,Peribacillus frigoritolerans,12
221822,Phaeobacter inhibens,41
357276,Phocaeicola dorei,11
821,Phocaeicola vulgatus,12
38293,Photobacterium damselae,20
1238,Piscirickettsia salmonis,80
2527775,Polynucleobacter paneuropaeus,10
837,Porphyromonas gingivalis,35
43767,Prescottella equi,18
28131,Prevotella intermedia,14
28132,Prevotella melaninogenica,14
1404,Priestia megaterium,47
1219,Prochlorococcus marinus,20
1744,Propionibacterium freudenreichii,26
584,Proteus mirabilis,114
1574161,Proteus terrae,15
585,Proteus vulgaris,11
126385,Providencia alcalifaciens,12
587,Providencia rettgeri,37
588,Providencia stuartii,16
287,Pseudomonas aeruginosa,732
47877,Pseudomonas amygdali,16
930166,Pseudomonas brassicacearum,10
587753,Pseudomonas chlororaphis,85
294,Pseudomonas fluorescens,41
76759,Pseudomonas monteilii,14
380021,Pseudomonas protegens,27
303,Pseudomonas putida,73
47883,Pseudomonas synxantha,12
251701,Pseudomonas syringae,10
317,Pseudomonas syringae,53
1402135,Pseudosulfitobacter pseudonitzschiae,43
1310165,Ralstonia pseudosolanacearum,13
305,Ralstonia solanacearum,122
54291,Raoultella ornithinolytica,27
145458,Rathayibacter toxicus,18
384,Rhizobium leguminosarum,29
396,Rhizobium phaseoli,15
1833,Rhodococcus erythropolis,10
37919,Rhodococcus opacus,10
103816,Rhodococcus pyridinivorans,14
334542,Rhodococcus qingshengii,16
1076,Rhodopseudomonas palustris,13
781,Rickettsia conorii,10
35790,Rickettsia japonica,34
782,Rickettsia prowazekii,11
783,Rickettsia rickettsii,17
34085,Riemerella anatipestifer,42
2287,Saccharolobus solfataricus,13
54736,Salmonella bongori,12
28901,Salmonella enterica,1602
615,Serratia marcescens,126
82996,Serratia plymuthica,19
300181,Serratia ureilytica,11
38313,Shewanella algae,25
62322,Shewanella baltica,13
621,Shigella boydii,18
622,Shigella dysenteriae,26
623,Shigella flexneri,108
624,Shigella sonnei,41
382,Sinorhizobium meliloti,29
2133,Spiroplasma citri,11
985762,Staphylococcus agnetis,10
985002,Staphylococcus argenteus,18
1280,Staphylococcus aureus,1219
29388,Staphylococcus capitis,10
1281,Staphylococcus carnosus,14
1282,Staphylococcus epidermidis,166
246432,Staphylococcus equorum,12
1283,Staphylococcus haemolyticus,34
1290,Staphylococcus hominis,16
28035,Staphylococcus lugdunensis,36
283734,Staphylococcus pseudintermedius,67
29385,Staphylococcus saprophyticus,17
1286,Staphylococcus simulans,20
1292,Staphylococcus warneri,12
1288,Staphylococcus xylosus,11
40324,Stenotrophomonas maltophilia,91
1311,Streptococcus agalactiae,141
1328,Streptococcus anginosus,18
1334,Streptococcus dysgalactiae,53
1336,Streptococcus equi,33
315405,Streptococcus gallolyticus,10
1302,Streptococcus gordonii,14
1309,Streptococcus mutans,27
1303,Streptococcus oralis,21
1313,Streptococcus pneumoniae,226
1314,Streptococcus pyogenes,269
1304,Streptococcus salivarius,19
1307,Streptococcus suis,131
1308,Streptococcus thermophilus,98
1886,Streptomyces albidoflavus,10
1901,Streptomyces clavuligerus,17
54571,Streptomyces venezuelae,11
316,Stutzerimonas stutzeri,29
2285,Sulfolobus acidocaldarius,11
43080,Sulfolobus islandicus,16
32046,Synechococcus elongatus,10
29575,Taylorella equigenitalis,39
274,Thermus thermophilus,25
158,Treponema denticola,20
160,Treponema pallidum,139
162,Treponema phagedenis,10
1661,Trueperella pyogenes,18
134821,Ureaplasma parvum,10
81947,Vagococcus lutrae,10
663,Vibrio alginolyticus,45
55601,Vibrio anguillarum,37
680,Vibrio campbellii,20
666,Vibrio cholerae,115
676,Vibrio fluvialis,21
29494,Vibrio furnissii,14
669,Vibrio harveyi,23
670,Vibrio parahaemolyticus,159
672,Vibrio vulnificus,30
137591,Weissella cibaria,15
546165,Wolbachia endosymbiont of Aedes aegypti,15
955,Wolbachia pipientis,20
56448,Xanthomonas arboricola,23
339,Xanthomonas campestris,118
346,Xanthomonas citri,123
56454,Xanthomonas hortorum,13
347,Xanthomonas oryzae,168
1985254,Xanthomonas phaseoli,18
343,Xanthomonas translucens,38
2371,Xylella fastidiosa,57
1444770,Xylella taiwanensis,22
630,Yersinia enterocolitica,38
632,Yersinia pestis,65
633,Yersinia pseudotuberculosis,26
29486,Yersinia ruckeri,37
542,Zymomonas mobilis,17
